person_id,prolific_id,phase,relevant,timestamp,interesting,know_better,like_chosen,diversity_high,differed_topics,fit_preferences,looking_forward,fitted_preferences,similar_to_each_other,sport,politikk,media_usage,news_source,media_access,mat_og_drikke,klima_og_miljo,livsstil_og_helse,helse_og_forskning,samfunn_og_arbeidsliv,okonomi_og_naeringsliv,teknologi_og_vitenskap,kriminalitet_og_rettssaker,underholdning_og_kjendiser,utenriks_og_globale_konflikter,num_clicks,percent_familiar,age,country,education,gender
26,682a2eff63350edcaf560e19,1,5,2025-06-19T13:29:23.529640+00:00,5,3,4,5,5,5,5,5,2,-1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,-1,-1,5,,b25_35,US,BA,Female
26,682a2eff63350edcaf560e19,2,2,2025-06-23T12:00:38.672236+00:00,2,4,2,4,4,2,2,2,2,-1,1,daily,social,"internet,smartphone,streaming",1,1,1,1,1,1,1,1,-1,-1,4,100.0,b25_35,US,BA,Female
27,645ceb25f4a54a7843743a88,1,5,2025-06-19T13:27:17.549906+00:00,4,3,4,3,4,4,5,3,5,-1,1,weekly,social,"internet,smartphone,streaming",1,-1,1,1,-1,1,1,-1,1,1,5,,b25_35,AU,MSc,Female
27,645ceb25f4a54a7843743a88,2,5,2025-06-22T02:25:40.317084+00:00,4,3,3,4,3,4,4,4,4,-1,-1,daily,social,"internet,smartphone,tablet,streaming",1,-1,1,1,-1,1,1,-1,1,1,8,87.5,b25_35,AU,MSc,Female
28,665af670c32544bf63236164,1,3,2025-06-19T13:27:51.565456+00:00,4,3,3,4,4,4,3,4,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,-1,-1,-1,1,1,-1,-1,1,5,,b35_45,GB,High_school,Male
28,665af670c32544bf63236164,2,4,2025-06-21T18:47:44.103572+00:00,4,3,4,4,4,5,4,4,2,1,1,daily,social,"internet,smartphone,streaming",1,1,-1,-1,-1,1,1,-1,-1,1,9,66.7,b35_45,GB,High_school,Male
29,602a2911a73ba046955f6c58,1,1,2025-06-19T13:30:29.524174+00:00,2,5,3,3,3,2,3,2,2,-1,-1,daily,tv,"internet,smartphone,streaming",1,-1,-1,-1,1,-1,-1,1,-1,-1,5,,over_55,GB,BA,Female
29,602a2911a73ba046955f6c58,2,2,2025-06-21T18:14:33.585830+00:00,2,5,3,4,4,2,3,2,2,-1,-1,daily,tv,"internet,smartphone,streaming",-1,-1,1,-1,1,-1,-1,1,-1,-1,5,80.0,over_55,GB,BA,Female
30,5d7fd2a5987f70001602d95b,1,4,2025-06-19T13:31:50.541465+00:00,4,2,4,4,4,4,4,4,3,-1,1,daily,papers,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,-1,-1,-1,5,,b45_55,US,BA,Female
30,5d7fd2a5987f70001602d95b,2,5,2025-06-21T21:46:44.497333+00:00,5,1,5,3,3,5,5,5,3,-1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,-1,-1,-1,1,0.0,b45_55,US,BA,Female
32,62877d5f6a054e53313ac916,1,2,2025-06-19T13:31:09.098333+00:00,2,5,3,4,4,3,3,2,2,1,1,daily,social,"internet,smartphone",1,-1,1,1,-1,-1,-1,1,-1,1,5,,b25_35,US,BA,Male
32,62877d5f6a054e53313ac916,2,2,2025-06-22T01:00:36.376307+00:00,2,4,3,4,4,4,4,2,2,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,-1,1,2,0.0,b25_35,US,BA,Male
34,5f4560c565e28d13e5dd5d56,1,5,2025-06-19T13:36:08.620615+00:00,5,4,5,5,5,5,5,5,1,1,1,daily,social,"internet,smartphone,tablet,streaming",1,1,1,1,1,1,1,1,1,1,5,,b25_35,ZA,BA,Female
